Reference	Lexrank	Seq-to-seq	Score
Obama adviser admits they 'don't know' which files Snowden has copied. Further classified documents have been exposed on U.S. data collection. NSA leaker Edward Snowden remains in the transit area of Moscow airport after leaving Hong Kong on Sunday. U.S. demanded Russia extradites him immediately but Putin refused.	Russian and foreign journalists continued to monitor the Sheremetyevo international airport, where Snowden is believed to remain at the transit zone. Hideout: He is in the transit area of Sheremetievo airport in Moscow after flying from Hong Kong on Sunday. Russia only acknowledged his arrival only. on Tuesday, when President Vladimir Putin said Snowden was still in the. transit zone of Moscow's Sheremetyevo Airport. Snowden to be extradited immediately, but Russia said it would not as. they have no extradition treaty with the country and Snowden has not. committed a crime in Russia.	Revelation came as new batch of highly classified documents made public across the internet yesterday, revealing how the U.S. government has collected online data in bulk. Mr Snowden, who worked as an undercover computer specialist with the CIA before contracting with the National security Agency, remains in the transit area of Sheremetyevo airport, in Moscow. Russian and Foreign journalists continued to monitor the Sheremetyevo international airport, where Snowden had been expected to fly to Cuba but has not reportedly left Russia.	-0.162013446532
Multiple reports suggest a new smartphone from Amazon is coming soon. The phone will offer hologram-like 3-D images, according to reports. Once known for Web sales, Amazon has increasingly become a hardware company. The Kindle line of tablets and e-readers has been a success for Amazon.	After more than two years of hints and leaks, the long-awaited Amazon phone appears to be almost ready for its debut. In the past week, tech blog Boy Genius Report has posted images of what it says is that very phone, along with a report that users will control some features of the device just by tilting it at certain angles. In the past, BGR has accurately reported details about unannounced Amazon products like its Kindle Fire tablets and Kindle e-readers.	Amazon has never confirmed that it's making a smartphone. The device has been a prime example of "vaporware," the term for rumored tech gadgets that everybody loves talking about despite the fact they don't officially exist. In the past, tech blog Boy Genius report has posted images of what it says is that very phone, along with a report that users will control some features of the device just by tilting it at certain angles.	-0.0987020958571
The tech behemoth's acquisitions officer Adrian Perica reportedly met with Tesla's celebrity entrepreneur CEO Elon Musk. Apple is also exploring ways to predict heart attacks using the sound blood makes as it travels through arteries.	The company is rumored to be researching a device that can predict heart attacks. 'Adrian Perica is a very busy man,' begins Sunday's report in the San Francisco Chronicle, which suggests. the company's deals man, who was once an intelligence officer, is eager. to blaze new trails for the company. According to the Chronicle, Perica met with Musk and likely Tim Cook sometime last spring. In addition to cars, Apple is also reportedly dabbling in medical devices.	Apple CEO Tim Cook reportedly met with Tesla CEO Elon Musk and former spy turned Apple's acquisitions officer Adrian Perica in the spring. Rumors are swirling that Apple has designs on a plunge into the automobile industry. Apple is rumored to be researching a device that can predict heart attacks.	-0.154310736981
Gadget believed to have a 7.85inch screen - compared to the 9.7in on the most up-to-date version of the full-size iPad. 1 in every 6000 UK internet searches were for the iPad mini last week. Controversial new 'lightning' connector also expected to be used. Estimates claim Apple has already ordered 10 million iPad minis from suppliers. iPad Mini, Microsoft Surface and Kindle Fire all set to go on sale this month.	The firm believes Apple could sell 5 million iPad minis in the December quarter, but that will be at the expense of 1 million 9.7in iPads. Insiders. say the iPad Mini will be announced on October 17, a few days from the. releases of Amazon's Kindle Fire and Microsoft's Surface tablets, and go. on sale November 2. Changes: This picture, leaked by the same source, compares the new connector on the iPad Mini with the old version as seen on previous versions of the iPad.	The shrunken iPad is rumoured to have a screen that is 7.8inches across the diagonal - which compares to 9.7 on the original version. Tech watchers suggest the device - like the latest incarnation of the iPhone - will work on the superfast 4 G mobile network that will launch next week in the UK. This would allow it to be used easily on public transport, and fit into a ( large) jacket pocket.	-0.140031469506
At least two videos, in California and Florida, have been posted online. This suggests the top-secret project is more widespread than first thought. Rumours range from a Street View-style  service to a Tesla-style electric car. In the Florida video, the passenger is seen concealing an iPad . The far-reaching nature of the project adds  weight to mapping rumours. But reports claims Apple is building a self-driving 'Titan' car in a secret lab. Alternatively, the tech giant could be using the vehicles for both projects    .	Apple could, of course, be using the vans for both projects.  . A unnamed Apple employee recently hinted that the tech giant is developing a vehicle as part of a project that 'will change the landscape and give Tesla a run for its money.' It followed sightings of an Apple-owned car fitted with cameras (pictured) in California. Last year, footage emerged of a self-driving Dodge Caravan that looked like the current Apple minivans. . With 12 cameras on top of the mysterious Apple car, some have said that is too many for it to be a mapping car like Google's Street View (pictured left).	At least two videos - one recorded in California, suggest the top - secret project is more widespread than first thought. Rumours range from a Street View - style mapping service to an electric car that will rival Tesla or a self - driving van to rival Google. The latest vans haven't officially been confirmed as belonging to Apple, but the similarities with previous confirmed sightings suggests they are. The far - reaching nature of the project lends more weight to the claims.	-0.123376616357
Acer Iconia W3 believe to be one of several Microsoft-powered gadgets similar to the iPad mini in development. Microsoft also believed to be developing a smaller version of the firm's Surface tablet with a 7inch screen.	The Acer Iconia W3 - which appeared briefly on amazon.com before being removed - is the first small tablet seen running Microsoft's Windows 8 software. The tablets are expected to go on sale later this year, and will go head to head with Apple's iPad Mini, Google's Nexus 7 and the Amazon Kindle Fire in the lucrative small tablet market. The Surface tablet was unveiled earlier this year to a lukewarm reception - Now Microsoft is believed to be developing a smaller version to take on Apple's iPad mini.	Microsoft is also believed to be developing its own tablet, based on the larger Surface, which is to be unveiled next month at the firm's Build developer Conference. The listing said the W3 would cost $379.99 for the 32 GB model, and come with a dual - core Intel Atom processor. Microsoft is rumoured to be announcing its two small - screen Surface tablets at the Build Developers Conference in June.	-0.0843829205126
GCHQ 'losing web security experts' because they can't match Google's high salaries.	GCHQ 'losing web security experts' because they can't match Google's high salaries. Al Qaeda has explicitly called for ‘cyber-jihad’ and there have been a series of attempts by terrorists to ‘invade’ Facebook, the Government's new counter-terrorism strategy said today. Warning: 'There have been a number of attempts by terrorist and extremist groups to "invade" Facebook,' said the Government's new counter-terrorism strategy (File picture) Crimes linked to Facebook reached more than 100,000 across the country in the last five years, according to a report out in December.	Gchq 'losing web security experts' because they can't match Google's high salaries. Home Secretary Theresa May launched the new counter - terrorism strategy which warned that since the death of Osama bin Laden Al.	-0.0880453274349
World's most powerful leaders line up for group shot at Lough Erne. G8 summit agrees data-sharing deal to stop firms avoiding tax. David Cameron takes a dip in the lake with protection officer.	Multinational firms such as Google and Amazon would have to declare what tax they pay across the world under plans for a 'global standard' to help put an end to tax avoidance. Meeting: The two-day summit agreed action on trade,and tax but divisions over Syria dominated the agenda. Talks: British Prime Minister David Cameron hailed the breakthrough on tax which he said would create global transparency on where firms are hiding profits.	Britain is to lead the way by creating a central registry of information of who owns and controls companies, which the firms themselves will be required by law to declare. Tax authorities and police will have. Access to the database and the Government will consult on whether it. Should also be made public. The aim of the register is to stop. Wealthy individuals and corporations creating complex webs of offshore. Companies to try to dodge tax.	-0.183511351357
Smaller version of the firm's Surface tablet expection to go on sale later this year. Will have a 7 inch screen, and compete against similar sized tablets from Apple, Google and Amazon. Could be designed for games and carry the Xbox logo.	The tablet is expected to go on sale later this year, and will go head to head with Apple's iPad Mini, Google's Nexus 7 and the Amazon Kindle Fire in the lucrative small tablet market. It is hoped the devices could reverse the disappointing sales of the larger Surface tablet which Microsoft launched this year. Some 350 million personal computers are sold each year, but the numbers are nothing compared to more portable options.	Microsoft is expected to go on sale later this year, and will go head to head with Apple's iPad Mini, Google's Nexus 7 and the Amazon Kindle Fire in the lucrative small tablet market. It is hoped the devices could reverse the disappointing sales of the larger Surface tablet which Microsoft launched this year. The tablet was unveiled earlier this year to a lukewarm reception - now Microsoft is believed to be developing a smaller version to take on Apple's Mini.	-0.128716084639
Technology figures Elon Musk and Jeff Bezos completed the ALS ice bucket challenge . Musk was nominated by Bill Gates, while Bezos was nominated by Microsoft CEO Satya Nadella. Unlike his famous peers, the tech-savvy Gates built a structure to help with the icy stunt. An ice bucket challenge nominee is. taped pouring icy water down onto his or her head, then posts the video. online and nominates others to do the name. The challenge must be. completed within 24 hours, and those who do not complete it usually. donate $100 to an ALS-based charity.	Technology figures Elon Musk and Jeff Bezos have completed the ALS ice bucket challenge. Musk was nominated to complete the ice bucket challenge by Bill Gates. MailOnline earlier reported that Taylor Swift, who was taped in a video with Jaime King and a large group of people behind them, nominated Selena Gomez, Ed Sheeran and Emma Stone. Gomez - who was also nominated by Ryan Seacrest - posted a video to Instagram that showed her taking the ice bucket challenge. Singer Tank did the ALS ice bucket challenge on Thursday.	Technology figures Elon Musk and Jeff Bezos have completed the ALS ice bucket challenge. The challenge must be completed within 24 hours, and if not the nominee donates $100 to an ALS - based charity. People with ALS ( amyotrophic lateral sclerosis) lose the ability to move their muscles over time and and there is no cure, according to the ALS Association. Both men have since accepted and posted videos of their attempts.	-0.021768988845
Facebook founder previously was in ninth place. Decline comes with crumbling IPO results and CEO's loss of nearly half of $17.5 billion fortune.	Mark Zuckerberg has dropped out of the Top 10 Most Powerful People in the World after the bungled stock market floatation of Facebook. Abrupt decline: Forbes mutually reports Zuckerberg having lost nearly half of his $17.5 billion fortune in the last 12 months. Forbes writes: ‘That was then. According to the Forbes list, the Most Powerful Person in the World is still President Obama, who held the top spot last year.	Mark Zuckerberg is one of the biggest movers in this year's list. He is now worth $9.4 billion having seen $8.1 billionvanish from his personal worth over the last 12 months. Facebook also hit 1bn users in October for the first time, or around one sixth of the World population. Forbes said that in May. investors were ‘ giddy 'when it went public and asked themselves:' how. High will it go? '	-0.102552360141
Putin spoke at military parade to mark Red Army liberation of Belgrade. He lambasts Western sanctions accusing U.S. of 'absurd, illusory goal' Tomorrow he travels to key summit where he will meet Ukrainian president .	Vladimir Putin today issued a Cold War-style tirade to Western leaders warning them not to 'blackmail' major nuclear power Russia. Old school pomp: President Putin and Serbian President Tomislav Nikolic, right, arrive for a military parade in Belgrade, the Serbian capital to mark 70 years since the city's liberation by the Red Army. If pro-Western but energy-starved Kiev siphons gas from a pipe carrying supplies to the EU this winter, then Moscow would cut supplies, warned Putin, after receiving a red carpet welcome in Serbian capital Belgrade.	Tough - talking former KGB spy took aim at a 'hostile' barack Obama who listed 'russian aggression' in Ukraine among the top global threats alongside Islamic State jihadists and Ebola. Cameron is taking part in a key summit in Milan tomorrow which will see Putin hold make - or - break talks with his Ukrainian opposite number Petro Poroshenko. But last night Angel Merkel warned Putin that an enforceable ceasefire this winter depended on urgent action from Russia.	-0.0873381326119
NEW: Among the terror concerns is explosives in toothpaste tubes on planes. Preparations in the Winter Olympics host city are up against the wire. Complaints about accommodations, water are getting media attention. One bright spot is the weather; officials say snowfall has been ample.	From hotels that don't appear to be finished, to ongoing security concerns, to reports of officials poisoning stray dogs -- none of this will be what Russian President Vladimir Putin would have hoped to see when he arrived in Sochi on Tuesday. So, what are the biggest concerns? Warning to U.S. athletes: No Olympic uniforms outside Sochi venues. Winter Olympics by the numbers.	The 2010 Commonwealth Games are looking far from complete. Four of thousands of police and troops have been dispatched to the area to create what Putin has described as a "ring of steel" protecting the Games. The most important duty of any host nation is surely to ensure the safety of athletes and visitors, but simmering tensions in the nearby North Caucasus region of the country -- where Islamic separatists have conducted a string of deadly attacks.	-0.221804089131
EU agrees arms embargo and curbs on state-owned Russian banks. BP warns more controls will have 'material adverse impact' on the firm . UK ambassador to US Sir Peter Westmacott says Putin made 'wrong call' . Condemns the 'terrible atrocity' of flight MH17 being shot out of the sky . David Cameron insists all EU countries must share burden of crackdown . But senior Tory Sir Malcolm Rifkind says sanctions are purely 'symbolic'  . Britain to send 1,300 troops to Poland as part of 'Exercise Black Eagle'	Sir Peter Westmacott, the UK ambassador to the US, said Moscow’s aggression in Ukraine was starting to look like ‘the wrong call’ and the West’s firm response to the downing of Malaysian Airlines plane was starting to have an impact. Mr Cameron said: ‘The sanctions relate to Vladimir Putin and Russia’s behaviour. .	Sir Peter Westmacott, the UK ambassador to the US, said Moscow's aggression in Ukraine was starting to look like ‘ the wrong call '. Warns Russia has failed to stem the flow of weapons across the border to Ukraine since a surface - to - Air missile was used to destroy flight MH17. Eight more officials - including four members of President Vladimir Putin's inner circle - are also expected to be subjected to asset bans and travel freezes.	0.00300239315364
Hecklers told NSA Director Keith Alexander to 'read the Constitution' Alexander spoke at the Black Hat security conference in Las Vegas, which attracted about 7,000 cybersecurity experts and hackers from the private and public sectors.	National Security Agency Director Keith Alexander jousted with a few hecklers as he defended the U.S. spy agency's surveillance programs at the Black Hat security conference on Wednesday, but largely kept the crowd of cybersecurity experts and hackers on his side. Hacks: NSA Chief Keith Alexander responds to questions after giving the opening keynote address at the Black Hat USA 2013 hacker convention. At the same time, many security experts have profound enthusiasm for the causes of internet freedom and privacy. .	The four - star general, who wore uniform shirt sleeves, was the opening keynote speaker at the annual convention in Las Vegas, which drew about 7,000 cybersecurity experts and hackers from the private and public sectors. Alexander has been under fire from many civil liberties advocates and lawmakers since former NSA contractor Edward Snowden leaked documents revealing previously secret telephone and internet surveillance programs run by the U.S. government. The NSA is the U.S. spy agency that monitors foreign electronic communications.	-0.105835410535
Phone rumoured to show images that 'float above the screen like holograms' Will go on sale in September - the same time Apple is expected to unveil its iPhone 6.  Back to Mail Online home.  Back to the page you came from.	Amazon's most reent launch was the Fire TV box. Fire TV’s remote uses bluetooth. 'The supply chain will start stocking up materials in Q2 2014 for production.' It comes just weeks after the firm launched Fire TV, a set top box that doubles as a games console. The service uses Amazon's existing Prime TV and film on demand service, along with Hulu Plus.	Device will use retina - tracking technology to make images on the smartphone's display appear to 'float above the screen like a hologram and appear three - dimensional at all angles'. The handset will be revealed in June and launched in September, the report claims. It comes just weeks after the firm launched Fire TV, a set top box that doubles as a games console.	-0.167220911393
Firm confirms it has sold out of its initial supply og the iPhone 5. Almost 1,300 people queued at the Apple's Regent Street store. Launch hit by complaints over new maps software.	Apple has sold more than five million of its new iPhones in three days despite customer grumbles about some of its software. Apple CEO Tim Cook said: 'Demand for iPhone 5 has been incredible and we are working hard to get an iPhone 5 into the hands of every customer who wants one as quickly as possible. The sales figures were announced as a new survey found Apple has taken Aston Martin’s title as the UK’s coolest brand. Hundreds queue at the Covent Garden Apple for the new iPhone 5.	Fans of the brand flocked to shops to get their hands on its newest bit of kit when it went on sale on Friday. Apple said it had sold 5 million of the handsets in just three days. Apple CEO Tim Cook said: 'demand for iPhone 5 has been incredible and we are working hard to get an iPhone 5 into the hands of every customer who wants one as quickly as possible'.	-0.128593210993
Forbes magazine publishes list of 72 most powerful people on the planet. British PM David Cameron drops to number 11 after policy 'flip flops' Ridiculed for once being seen as the 'second coming of Margaret Thatcher' Michael Duke, boss of Walmart which owns Asda, takes 10th place. Ed Miliband claims Cameron has gone from 'Rambo to Bambi'	Supermarket sweep: David Cameron has dropped out of the top 10 of the Forbes Power list for the first time since becoming Prime Minister, making way for Wal-Mart President and CEO Michael Duke. Top two: Russian President Vladimr Putin is ranked number one most powerful person in the world, while US President Barack Obama is number two. Forbes’. annual list, chosen by the influential magazine’s editors, has also. demoted Barack Obama who had been number one every year since he was. elected US president in 2009.	David Cameron has dropped out of the top 10 of the Forbes power list for the first time since becoming Prime Minister. Mr Cameron is derided by the influential US business magazine for ‘ a flip - flop approach to green taxes'. The magazine added: 'the Conservative PM guides the world's sixth - largest economy. And was once hailed as the second coming of Margaret Thatcher.	-0.15923565727
Google spent $1.43m last year through its political spending wing NetPAC. That is more than Goldman Sachs, which spent $1.4m in same period. During 2010 midterms, Google donated just a third of Goldman Sachs. Marks rise in political spending by tech firms bidding to influence lawmakers. Growing interest due to issues from tax to skilled migrant visa allocation.	Google donated more money to political campaigns this year than global investment bank Goldman Sachs, it has been revealed. Political ambitions: The technology giant's political spending wing, NetPAC, spent $1.43 million attempting to guide policymakers' hands in Washington - $30,000 more than that shelled out by Goldman in the same period. Google: $1.43m .	Political spending wing, netpac, spent $1.43 million attempting to guide policymakers' hands in Washington - $30,000 more than that shelled out by Goldman in the same period. The figures, reveled by the Financial Times today, signal a dramatic surge in Google's political ambitions in recent years as it seeks to branch out from online search into other fields, from driverless cars to 'curing death'.	-0.0025224951829
New gadget costs $329 and New Yorkers rushed to Fifth Avenue flagship store to queue. Reports claim staff outnumbered customers in Hong Kong store. Apple also rolled out its fourth-generation iPad today.	Modest lines of customer looking to secure a new $329 mini iPad formed outside the company’s flagship store on Fifth Avenue. Big Apple buyers: Modest lines of customer looking to secure a new $329 mini iPad formed outside the company's flagship store on Fifth Avenue.	Eytan Friedman, 43, is living in the area of the downtown Manhattan without power. Experts say bad weather, Hurricane Sandy and increased competition from rivals such as Google, Amazon and Microsoft could be behind to lack of queues. New Yorkers line up down Fifth Avenue in Manhattan to get their hands on the new mini iPad in Manhattan.	-0.098881460609
Google tops the 2014 100 Top Brandz report by Millward Brown. Its value shot up 40% in a year to a huge £158.84 billion (£92.24 billion) Apple's value meanwhile fell by 20% to $147.88 billion (£87.74 billion) Millward Brown says this could be due to Google's investment in new tech. Highest riser was Chinese internet portal Tencent, which grew 97% to 14th.	Google has overtaken rival technology firm Apple as the world's top brand in terms of value, global market research agency Millward Brown said today. Google's brand value shot up 40 per cent in a year to $158.84 billion (£92.24 billion), Millward Brown said in its 2014 100 Top BrandZ report. Apple, which dominated the top position for three straight years, saw its brand value fall by 20 per cent to $147.88 billion (£87.74 billion). IBM was in third place at $107.54 billion (£63.8 billion), a fall of 4 per cent, followed by Microsoft at $90.19 billion (£53.51.	Google's brand value shot up 40 per cent in a year to $158.84 billion ( £92.24 billion). They say this was due to investments in emerging technologies like Google Glass and driver - less cars. Google is now the world's biggest brand, overtaking rival Apple, after a growth of 40 per cent in 2014 according to Millward Brown.	-0.0594949111492
Apple co-founder Wozniak slammed devices for not offering more storage. One expert called launch 'over publicised and underdelivering' Another claims Apple is sticking to the 'if it's not broke, don't fix it' line. While other analyst claims the issue lies with the public's expectations rather than Apple incompetence.	With Apple's co-founder Steve Wozniak slamming the new iPad Air, left, and iPad mini, right, for concentrating on style over substance, other experts are torn as to whether customer expectation is really the problem. Tim Ryan, a partner at Davenport Lyons told MailOnline the lack of fanfare around Apple's event may be more about customer expectation than about Apple's ability to innovate: 'The. fact is consumers are more and more sophisticated and their. expectation levels regarding new products and product launches have. risen stratospherically over the last five years or so. .	Apple's co - founder Steve Wozniak told the BBC he 'wishes to God' Apple and Google will be partners in the future. Wozniak said: 'yes it's thinner but I wanted storage' for concentrating on style over substance, other experts are torn as to whether customer expectation is really the problem. The same A7 chip has been added to the fifth - generation iPad, now known as iPad Air, and lacks many more original features.	-0.168040014744
The new price of $399 begins June 9 - but bundle has no Kinect sensor. Microsoft signed up Sarah Silverman and Seth Green original TV shows. Hopes drop will allow it to catch arch rival Playstation 4.	The new price of $399, the same as a PS4, begins June 9, and Microsoft says it is also allowing entertainment apps like Netflix to be used on both the Xbox One and the older Xbox 360 console without having to pay for an Xbox Live Gold membership, which costs $60 a year. Amazon last month unveiled a $99 TV box to take on Apple, Google and Roku - and it doubles as a games console.	Microsoft has slashed the price of its Xbox One games console by $100 in a bid to become the living room of choice and catch up to arch rival Sony. The new price of $399, the same as a PS4, begins June 9, and Microsoft says it is also allowing entertainment apps like Netflix to be used on both the Xbox One and the older Xbox 360 console without having to pay for an Xbox Live Gold membership.	0.0166242677575
NEW: Apple unveils a high-definition iPad. The device is the third version of its market-leading tablet. It will display 2047x1536 pixels, a huge leap. Device goes on sale March 16 for same prices as iPad 2.	Apple rolled out a high-definition iPad on Wednesday with a faster processor, a better camera and a display screen that promises to be dramatically sharper than the current model, the iPad 2. Surprisingly, "the new iPad" was as close to a name as Apple gave the gadget Wednesday. By going smaller and simpler, Amazon made a splash with its Kindle Fire over the holidays, while rival bookseller Barnes & Noble countered with its popular Nook Tablet. Both devices start at $199.	Apple rolled out a high - definition iPad on Wednesday with a faster processor. The new iPad will be available in the United States and 9 other countries March 16 and cost the same as the iPad 2 -- from $499 to $829 based on storage capacity and Wi - fi capacity. Pre - orders were opened at Apple's online Store on Wednesday. "The new iPad" was as close to a name as Apple gave the gadget Wednesday.	-0.0386857401093
NSA leaker Edward Snowden remains in the transit area of Moscow airport after leaving Hong Kong on Sunday. U.S. demanded Russia extradites him immediately but Putin refused.	When Hong Kong asked the U.S. for. clarification last Friday, they failed to respond in time for officials. to stop Snowden's flight to Russia on Sunday. Hideout: He is in the transit area of Sheremetievo airport in Moscow after flying from Hong Kong on Sunday. No sign of Snowden: Passengers wait in the transit area of the airport where Snowden has been for days. Russia only acknowledged his arrival only. on Tuesday, when President Vladimir Putin said Snowden was still in the. transit zone of Moscow's Sheremetyevo Airport.	President Obama said he won't engage in any 'wheeling, dealing and trading' to get NSA leaker Edward Snowden extradited from Russia to the United States. Despite the U.S. urging Russia to extradite Snowden immediately, President Vladimir Putin refused, saying there is no extradition treaty with the U.S., and Snowden has not committed any crimes in his country.	-0.112443347027
CEO Marissa Meyer is reportedly looking for four 30-minute, 10 episode comedies produced by television industry veterans. The company has already reviewed more than 100 potential pilots and is looking to have deals in place within the coming weeks. Microsoft signed up Sarah Silverman and Seth Green for its shows, with a dozen pilots in development. The shows would allow Yahoo to charge premium rates for video advertisements that would bolster sagging revenues.	Yahoo has unveiled plans for four shows, while Microsoft is believed to have 12 in development. They will go up against Amazon, Hulu and Netflix, all of whom are also commissioning their own shows in a bid to change they way we watch TV. Amazon last week unveiled a $99 TV box to take on Apple, Google and Roku - and it doubles as a games console. However, Yahoo doesn't plan to charge viewers to watch the series.	Yahoo chief executive Marissa Mayer has unveiled plans to break into television - style original video with the launch of two original comedy series and an internet channel. They will Go up against Amazon, hulu and Netflix, all of whom are also commissioning their own shows in a bid to change they way we watch TV. The expansion makes Yahoo the latest technology company to mount a challenge to Netflix.	-0.0409310480628
Claim by Hezbollah commander intercepted by German intelligence agency. But Assad's attempt to crush the rebels failed as West prepares to attack. Obama says 'international credibility is on the line' over its response. Russia has announced the deployment of a cruiser in the eastern Med. Putin yesterday warned U.S. against attacking Syria and provoking conflict. The Pope has summoned all diplomats to a meeting in a bid to stop the war. American and French lawmakers set to vote on any intervention.	Attack: Bashar Al-Assad is said to have launched a barrage of chemical weapons after he 'lost his nerve' Promise: Barack Obama said that the 'credibility' of the West was in question if it did not intervene. Attack: A boy who survived the chemical attack on the eastern suburbs of Damascus two weeks ago. Mr Putin suggested in an interview yesterday that Russia would support a UN resolution on military strikes if Assad is proven to have carried out the chemical attack.	Bashar Al - Assad is said to have launched a barrage of chemical weapons. Barack Obama said that the 'credibility' of the West was in question if it did not intervene. However, it appears that the chemical attack backfired, as it looks set to prompt a major intervention from American and French troops aimed at crippling Assad's military capabilities. The German intelligence came as Vladimir Putin warned the West not to take unilateral action against Syria.	-0.0616753560277
The European Union announces it's imposing sanctions on 15 people. Defense ministers from the United States and Russia discuss Ukraine. U.S. imposes sanctions against 7 Russians, 17 companies linked to Putin. The mayor of Kharkiv is in critical condition after emergency surgery.	The United States on Monday imposed sanctions against seven Russian government officials and 17 companies linked to Russian President Vladimir Putin in its latest action to punish Moscow for its actions in Ukraine. The Russian government's description of the call said Shoigu "definitively denied the groundless allegations of the presence of Russian sabotage and military intelligence groups on Ukrainian territory" and criticized what he called "anti-Russian hysteria recently unleashed in the Western press."	The mayor of the eastern Ukrainian city of Kharkiv underwent emergency surgery after being shot in the back, city officials say. The attack on mayor Gennady Kernes happened around noon local time, the Kharkiv city office official website said. After a two - hour operation, Kernes was out of surgery but in critical condition, the city office said. The online statement also said a bullet casing was found at the scene.	-0.207057697124
The White House is on the defensive over claims some could lose health coverage. The administration is also facing criticism over spying allegations. Benghazi is also resurfacing as senator threatens to delay nominations. The controversies are sure to fuel partisan rancor as midterm campaigns ramp up.	Obamacare website administrator apologizes. Rep. King on NSA spying: If Obama didn't know, he should have. And Sen. Dianne Feinstein, D-California, said not knowing about the program was a "big problem" for both Obama and the Senate Intelligence Committee, which she chairs. The White House said Monday that Graham and other Republicans are using Benghazi for political purposes, "and we find that unfortunate."	David stanley: the Obama administration finds itself under assault on three fronts: problems surrounding Obamacare. He says controversies are sure to fuel continued Republican attacks on President Barack Obama and his Democratic allies as the nation gears up for midterm elections next year. If you're the President, how do you make sure those tied to your administration avoid big missteps that could come back to bite you?	-0.269328204628
Facebook co-founder and CEO Mark Zuckerberg turned 29 on May 14. Young billionaire has inspired one of every seven people on the planet to use his product. Zuckerberg trivia: Facebook is mostly blue because he is colorblind.	Facebook CEO Mark Zuckerberg just had a birthday on May 14. In October 2010, Zuckerberg took a bunch of Facebook staffers to a public theater to see "The Social Network," the movie about the founding of Facebook. In public comments afterward, he criticized the film's portrayal of him as someone who invented Facebook to gain social status. If you type @[4:0] in a Facebook comment window and hit enter, his name will appear.	Facebook CEO Mark Zuckerberg has amassed a fortune, inspired one of every seven people on the planet to use his product and changed how the world communicates -- all before age 30. By comparison, when they were 29, steve Jobs launched the Macintosh computer and Bill Gates was readying the first retail version of Microsoft Windows. Zuckerberg suffers from red - green colorblindness and sees the color blue best, which is why blue dominates Facebook's color scheme.	-0.0718332929502
George W. Bush's paintings will go on public display Saturday at his presidential library. The never-before-seen paintings are of 30 world leaders; Bush worked from photographs. Bush has enjoyed a boost in popularity since he left office aided by charitable works, painting. Bump in the polls comes against a backdrop of criticism over his administration's torture tactics.	George W. Bush to unveil paintings. "I paint a lot. "And nor do I want my paintings to get out. And I found it very interesting the first painting that came out was the one I painted of myself in the bathtub.	Former President George W. Bush has found not only a rewarding hobby but a unique way to express himself and his impressions of 30 presidents, Prime ministers and other world leaders during his time in office. It will also include photographs and artifacts of his interactions with these leaders. The Bush Presidential Center is using these paintings to help broaden the image of Bush and is hoping to show "what it takes to be a Personal diplomat".	-0.050665000607
Investors in Russian assets don't like what they see in Ukraine, as CNN's John Defterios explains. Russia's central bank governor has pushed up interest rates to 7% to protect from a run on the currency. Russia's economy is expanding only modestly, despite huge expenditure on the Sochi Winter Olympics. Huge questions still remain over the dispute in Ukraine and the global economic repercussions.	After growing 3.4% in 2012, it came in at about a third of that level last year with an expansion of just 1.3%. Another worrying sign for the economy is that it is expanding only modestly -- despite the projected $50 billion that was spent on the Sochi Winter Games and projects earmarked for the 2018 World Cup. There is a co-dependency between Russia and Europe.	Investors of Russian assets have had their first real chance to assess the situation in Ukraine and they were delivered more than their fair share over the weekend. With the ruble hitting a record low of about 37 to the dollar, central bank governor Elvira Nabiullina surprised the market by pushing interest rates to 7% to buffer a run on the currency. The forecast of 2.5% growth in 2014, many suggest, looks ambitious with incursions into Ukraine part of the equation.	-0.12713208749
Leading German officials openly express disgust over new spying allegations. The finance minister calls alleged U.S. spying "daft," says it makes him want to cry. Allegations of NSA spying trigger special prosecutors' panel on foreign cyberspying. The new allegations land on top of an investigation into NSA spying on Chancellor Merkel.	"The U.S. Embassy has seen the reports that Germany has asked the U.S. Mission Germany's intelligence chief to leave the country. A German official confirmed that person was the CIA's station chief and that the agency's director, John Brennan, has talked multiple times with his German counterpart. One of the new cases has landed on top of an existing investigation on federal prosecutors' desks into the possible spying on Merkel. Germany calls in U.S. ambassador over new spying allegation.	Germany's government has asked America's top spy chief stationed in the country to leave. It's a punitive gesture usually reserved for adversarial nations in times of crisis and only rarely for an ally, particularly a very close one. Two Germans -- one working at a German intelligence agency, are suspected of spying for the United States. The U.S. official shown the door is based in Berlin at the U.S. Embassy, which followed up on Friday's announcement.	-0.212522772482
March saw the launch of Playboy magazine's first edition in Hebrew. Previous attempts to publish adult magazine in the 1980s were met with hostility. Publisher says he has not seen a bad reaction since launch. Some contend that the magazine is no longer very scandalous and the internet makes it less viable.	Playboy magazine recently published its first Hebrew language edition in Israel -- but has anyone actually been reading the articles to notice? Some observers believe that reading the Hebrew edition of Playboy could still be seen as political statement. "I'm not seeing very much fuss (in public about the launch of the magazine). "We don't see ourselves as a magazine company," says Pomerantz.	Playboy magazine recently published its first Hebrew language edition in Israel. The magazine's website has a form for would - be models to apply. "It's a time when Israel is really joining the family of modern nations," says the publisher of the magazine. "So far we haven't had a negative reaction," Pomerantz says.	-0.373088979036
